,Município,Total Investido,IDEB - 4 e 5,IDEB - 8 e 9
165,LAGOA DE DENTRO,11873927.160000004,4.6,3.2
166,BAIA DA TRAIÇAO,4822773.980000002,,
167,DONA INES,10670035.700000001,5.6,4.8
168,PILAR,9670617.459999995,3.5,3
169,UMBUZEIRO,8784684.839999998,3.9,**
170,AREIA,13660337.239999996,4.2,**
171,MONTEIRO,20671043.479999997,5.9,4.8
172,JURU,11717637.179999998,5,4.6
173,MARI,12853863.1,4.1,3
174,CONCEIÇAO,7286671.540000001,,
175,FAGUNDES,11005786.200000005,3.8,3.1
176,CRUZ DO ESPIRITO SANTO,12970332.099999996,3.4,*
177,SOLANEA,15135189.539999997,4.6,2.8
178,REMIGIO,14526574.420000013,4.7,3.6
179,CACIMBA DE DENTRO,12949052.879999995,4.8,3.7
180,ARAÇAGI,6433184.540000003,,
181,ALAGOA NOVA,14010723.209999992,4.4,2.5
182,ALAGOINHA,10639494.479999995,3.8,3.6
183,SAO JOAO DO RIO DO PEIXE,14514875.479999993,4,2.9
184,CATOLE DO ROCHA,14785460.710000003,4.5,3.2
185,SALGADO DE SAO FELIX,11637009.850000005,*,4.1
186,LUCENA,12333494.99,4.2,3
187,BOQUEIRAO,13691791.359999988,4.8,4.1
188,JUAZEIRINHO,14205120.229999997,4.4,3.3
189,TAVARES,14383800.179999994,5.4,4.4
190,POCINHOS,16683024.810000008,4.7,3.8
191,SUME,13758274.319999998,4.8,4.1
192,BANANEIRAS,18331982.119999982,4.7,2.8
193,PICUI,17630162.230000008,5.6,4.8
194,MOGEIRO,11367644.699999996,4.3,3.2
195,TEIXEIRA,14574168.7,4.7,3.7
196,INGA,13675634.279999986,3.7,2.9
197,POMBAL,20016541.159999993,6.2,4.7
198,ALHANDRA,16941425.89,3.6,2.6
199,ARARUNA,14636310.900000012,4.3,2.8
200,RIO TINTO,17850491.28999999,3.9,3.5
201,SAPE,29093348.410000015,4.5,3.6
202,CAAPORA,20215647.179999985,3.8,3.4
203,PITIMBU,15068617.720000004,4.1,**
204,ALAGOA GRANDE,21006649.290000014,4.6,3.5
205,SAO BENTO,25689340.78,4.4,3.6
206,LAGOA SECA,20706518.319999993,4.7,3.5
207,ESPERANÇA,13259875.490000002,,
208,SOUSA,24581998.810000002,5.1,4.1
209,CONDE,26894754.93,4.2,2.6
210,PEDRAS DE FOGO,29088627.09,4.8,4
211,CAJAZEIRAS,27031263.379999995,4.6,4
212,MAMANGUAPE,24843336.59999998,3.6,2.8
213,QUEIMADAS,39225595.369999975,5.4,3.9
214,GUARABIRA,29265538.27,4.6,3.4
215,CABEDELO,31578958.750000004,4.9,4.1
216,BAYEUX,50070015.38,4.4,3.5
217,PATOS,46388431.18000003,4.7,3.4
218,SANTA RITA,70673045.11000001,3.8,3
219,CAMPINA GRANDE,140699656.86000007,5.2,3.8
220,JOAO PESSOA,357303585.1600004,4.9,4
221,SAO SEBASTIAO DO UMBUZEIRO,2850078.4800000014,4.7,3.9
222,CURRAL DE CIMA,4809114.44,4.1,*
223,Não se aplica,1203439657.7799993,,
224,SAO SEBASTIAO DE LAGOA DE ROCA,3615850.299999999,4.5,2.2
225,POCO DE JOSE DE MOURA,3021089.6199999987,4.7,4.4
226,ASSUNCAO,1991497.0100000002,4.7,3.7
227,RIACHAO DO POCO,2836806.950000001,4.9,3.6
228,POCO DANTAS,3006126.7600000007,4.4,3.5
229,CAICARA,2561529.879999999,4.3,3.5
230,MARCACAO,4078995.2199999997,2.8,2.9
231,ARACAGI,5322466.54,3.8,2.9
232,BAIA DA TRAICAO,4410851.260000001,3.8,3.3
233,CONCEICAO,6223661.670000001,5.3,3.7
234,ESPERANCA,11605895.859999996,5.4,4.2
